 ,f,|hNSNS/hBHBH|,arg(hNSNS/hBHBH) 
val#5756,1.379130302e+01,9.974911666e-01,-2.075971418e-02 
val#5757,1.379252209e+01,9.975910464e-01,-2.074644981e-02 
val#5758,1.379374156e+01,9.977000176e-01,-2.073322078e-02 
val#5759,1.379496142e+01,9.978178943e-01,-2.072018400e-02 
val#5760,1.379618168e+01,9.979444118e-01,-2.070750734e-02 
val#5761,1.379740233e+01,9.980792224e-01,-2.069536747e-02 
val#5762,1.379862338e+01,9.982218914e-01,-2.068394709e-02 
val#5763,1.379984483e+01,9.983718965e-01,-2.067343149e-02 
val#5764,1.380106667e+01,9.985286270e-01,-2.066400507e-02 
val#5765,1.380228891e+01,9.986913863e-01,-2.065584709e-02 
val#5766,1.380351154e+01,9.988593960e-01,-2.064912704e-02 
val#5767,1.380473458e+01,9.990318029e-01,-2.064400063e-02 
val#5768,1.380595801e+01,9.992076866e-01,-2.064060502e-02 
val#5769,1.380718184e+01,9.993860716e-01,-2.063905490e-02 
val#5770,1.380840606e+01,9.995659392e-01,-2.063943882e-02 
val#5771,1.380963069e+01,9.997462423e-01,-2.064181622e-02 
val#5772,1.381085571e+01,9.999259205e-01,-2.064621550e-02 
val#5773,1.381208113e+01,1.000103917e+00,-2.065263251e-02 
val#5774,1.381330695e+01,1.000279193e+00,-2.066103078e-02 
val#5775,1.381453317e+01,1.000450748e+00,-2.067134227e-02 
val#5776,1.381575979e+01,1.000617630e+00,-2.068346934e-02 
val#5777,1.381698681e+01,1.000778952e+00,-2.069728741e-02 
val#5778,1.381821423e+01,1.000933903e+00,-2.071264887e-02 
val#5779,1.381944204e+01,1.001081759e+00,-2.072938697e-02 
val#5780,1.382067026e+01,1.001221890e+00,-2.074732063e-02 
val#5781,1.382189888e+01,1.001353763e+00,-2.076625890e-02 
val#5782,1.382312790e+01,1.001476947e+00,-2.078600609e-02 
val#5783,1.382435732e+01,1.001591112e+00,-2.080636587e-02 
val#5784,1.382558714e+01,1.001696027e+00,-2.082714569e-02 
val#5785,1.382681736e+01,1.001791556e+00,-2.084816028e-02 
val#5786,1.382804798e+01,1.001877654e+00,-2.086923490e-02 
val#5787,1.382927901e+01,1.001954357e+00,-2.089020761e-02 
val#5788,1.383051043e+01,1.002021774e+00,-2.091093127e-02 
val#5789,1.383174226e+01,1.002080085e+00,-2.093127457e-02 
val#5790,1.383297449e+01,1.002129522e+00,-2.095112290e-02 
val#5791,1.383420713e+01,1.002170371e+00,-2.097037835e-02 
val#5792,1.383544016e+01,1.002202952e+00,-2.098895940e-02 
val#5793,1.383667360e+01,1.002227622e+00,-2.100680047e-02 
val#5794,1.383790745e+01,1.002244759e+00,-2.102385073e-02 
val#5795,1.383914169e+01,1.002254759e+00,-2.104007321e-02 
